Using device: cpu
Episode 136/400 | Reward: 157.0 | Epsilon: 0.5058 | Loss: 0.233718
Episode 137/400 | Reward: 97.0 | Epsilon: 0.5032 | Loss: 0.208654
Episode 138/400 | Reward: 72.0 | Epsilon: 0.5007 | Loss: 0.206884
Episode 139/400 | Reward: 25.0 | Epsilon: 0.4982 | Loss: 0.254392
Episode 140/400 | Reward: 35.0 | Epsilon: 0.4957 | Loss: 0.244723
Episode 141/400 | Reward: 80.0 | Epsilon: 0.4932 | Loss: 0.347316
Episode 142/400 | Reward: 100.0 | Epsilon: 0.4908 | Loss: 0.293482
Episode 143/400 | Reward: 110.0 | Epsilon: 0.4883 | Loss: 0.292233
Episode 144/400 | Reward: 22.0 | Epsilon: 0.4859 | Loss: 0.323637
Episode 145/400 | Reward: 69.0 | Epsilon: 0.4834 | Loss: 0.306377
Episode 146/400 | Reward: 85.0 | Epsilon: 0.4810 | Loss: 0.291294
Episode 147/400 | Reward: 37.0 | Epsilon: 0.4786 | Loss: 0.281021
Episode 148/400 | Reward: 154.0 | Epsilon: 0.4762 | Loss: 0.276092
Episode 149/400 | Reward: 86.0 | Epsilon: 0.4738 | Loss: 0.255012
Episode 150/400 | Reward: 32.0 | Epsilon: 0.4715 | Loss: 0.174126
Episode 151/400 | Reward: 30.0 | Epsilon: 0.4691 | Loss: 0.577522
Episode 152/400 | Reward: 38.0 | Epsilon: 0.4668 | Loss: 0.415622
Episode 153/400 | Reward: 48.0 | Epsilon: 0.4644 | Loss: 0.343344
Episode 154/400 | Reward: 102.0 | Epsilon: 0.4621 | Loss: 0.317073
Episode 155/400 | Reward: 147.0 | Epsilon: 0.4598 | Loss: 0.314014
Episode 156/400 | Reward: 42.0 | Epsilon: 0.4575 | Loss: 0.309151
Episode 157/400 | Reward: 14.0 | Epsilon: 0.4552 | Loss: 0.312224
Episode 158/400 | Reward: 34.0 | Epsilon: 0.4529 | Loss: 0.769628
Episode 159/400 | Reward: 64.0 | Epsilon: 0.4507 | Loss: 0.408724
Episode 160/400 | Reward: 38.0 | Epsilon: 0.4484 | Loss: 0.228279
Episode 161/400 | Reward: 17.0 | Epsilon: 0.4462 | Loss: 0.540661
Episode 162/400 | Reward: 113.0 | Epsilon: 0.4440 | Loss: 0.304010
Episode 163/400 | Reward: 106.0 | Epsilon: 0.4417 | Loss: 0.479779
Episode 164/400 | Reward: 124.0 | Epsilon: 0.4395 | Loss: 0.304699
Episode 165/400 | Reward: 22.0 | Epsilon: 0.4373 | Loss: 0.786468
Episode 166/400 | Reward: 41.0 | Epsilon: 0.4351 | Loss: 0.539040
Episode 167/400 | Reward: 132.0 | Epsilon: 0.4330 | Loss: 0.388548
Episode 168/400 | Reward: 68.0 | Epsilon: 0.4308 | Loss: 0.557966
Episode 169/400 | Reward: 18.0 | Epsilon: 0.4286 | Loss: 0.290475
Episode 170/400 | Reward: 115.0 | Epsilon: 0.4265 | Loss: 0.755211
Episode 171/400 | Reward: 27.0 | Epsilon: 0.4244 | Loss: 0.657985
Episode 172/400 | Reward: 24.0 | Epsilon: 0.4223 | Loss: 0.297256
Episode 173/400 | Reward: 31.0 | Epsilon: 0.4201 | Loss: 0.654071
Episode 174/400 | Reward: 164.0 | Epsilon: 0.4180 | Loss: 0.396325
Episode 175/400 | Reward: 18.0 | Epsilon: 0.4159 | Loss: 0.144739
Episode 176/400 | Reward: 143.0 | Epsilon: 0.4139 | Loss: 0.414389
Episode 177/400 | Reward: 147.0 | Epsilon: 0.4118 | Loss: 0.422342
Episode 178/400 | Reward: 179.0 | Epsilon: 0.4097 | Loss: 0.680872
Episode 179/400 | Reward: 129.0 | Epsilon: 0.4077 | Loss: 0.345594
Episode 180/400 | Reward: 19.0 | Epsilon: 0.4057 | Loss: 1.168457
Episode 181/400 | Reward: 27.0 | Epsilon: 0.4036 | Loss: 0.656705
Episode 182/400 | Reward: 63.0 | Epsilon: 0.4016 | Loss: 0.477665
Episode 183/400 | Reward: 138.0 | Epsilon: 0.3996 | Loss: 1.019002
Episode 184/400 | Reward: 12.0 | Epsilon: 0.3976 | Loss: 1.630307
Episode 185/400 | Reward: 22.0 | Epsilon: 0.3956 | Loss: 0.357231
Episode 186/400 | Reward: 248.0 | Epsilon: 0.3936 | Loss: 0.845608
Episode 187/400 | Reward: 33.0 | Epsilon: 0.3917 | Loss: 0.457736
Episode 188/400 | Reward: 16.0 | Epsilon: 0.3897 | Loss: 0.430202
Episode 189/400 | Reward: 15.0 | Epsilon: 0.3878 | Loss: 1.162637
Episode 190/400 | Reward: 27.0 | Epsilon: 0.3858 | Loss: 0.791492
Episode 191/400 | Reward: 406.0 | Epsilon: 0.3839 | Loss: 0.777271
Episode 192/400 | Reward: 25.0 | Epsilon: 0.3820 | Loss: 1.141604
Episode 193/400 | Reward: 159.0 | Epsilon: 0.3801 | Loss: 0.562137
Episode 194/400 | Reward: 118.0 | Epsilon: 0.3782 | Loss: 0.555406
Episode 195/400 | Reward: 27.0 | Epsilon: 0.3763 | Loss: 1.371842
Episode 196/400 | Reward: 13.0 | Epsilon: 0.3744 | Loss: 0.476562
Episode 197/400 | Reward: 16.0 | Epsilon: 0.3725 | Loss: 0.498784
Episode 198/400 | Reward: 50.0 | Epsilon: 0.3707 | Loss: 0.802160
Episode 199/400 | Reward: 125.0 | Epsilon: 0.3688 | Loss: 0.607389
Episode 200/400 | Reward: 126.0 | Epsilon: 0.3670 | Loss: 0.767296
Episode 201/400 | Reward: 238.0 | Epsilon: 0.3651 | Loss: 0.904114
Episode 202/400 | Reward: 21.0 | Epsilon: 0.3633 | Loss: 0.365235
Episode 203/400 | Reward: 36.0 | Epsilon: 0.3615 | Loss: 1.022415
